edge_type,role_group,source_id,source_name,source_display_name,source_type,work_id,work_name,work_type,work_genre,work_release_year
ProducerOf,contributor,612,Elizabeth Saunders,Elizabeth Saunders,Person,10726,Protectors of Dignity,Album,Indie Folk,2010
ComposerOf,contributor,7154,Gregg Fuentes,Gregg Fuentes,Person,10837,Who's That Girl Named Mariele?,Song,Indie Pop,2010
PerformerOf,contributor,7156,Michaela Kelley,Michaela Kelley,Person,10837,Who's That Girl Named Mariele?,Song,Indie Pop,2010
PerformerOf,contributor,16837,Mineral Breath Asphalt,Mineral Breath Asphalt,MusicalGroup,10837,Who's That Girl Named Mariele?,Song,Indie Pop,2010
PerformerOf,contributor,10838,Shane Davis,Shane Davis,Person,10837,Who's That Girl Named Mariele?,Song,Indie Pop,2010
LyricistOf,contributor,10939,Teófilo Flor Gras,Teófilo Flor Gras,Person,10938,The Long Way Back,Song,Doom Metal,2010
PerformerOf,contributor,10940,Josep Nicanor Salcedo Arroyo,Josep Nicanor Salcedo Arroyo,Person,10938,The Long Way Back,Song,Doom Metal,2010
ProducerOf,contributor,10940,Josep Nicanor Salcedo Arroyo,Josep Nicanor Salcedo Arroyo,Person,10938,The Long Way Back,Song,Doom Metal,2010
ComposerOf,contributor,11004,Franciszek Wieja,Franciszek Wieja,Person,11002,The Maestro's Unsung Wisdom,Song,Indie Rock,2010
PerformerOf,contributor,11004,Franciszek Wieja,Franciszek Wieja,Person,11002,The Maestro's Unsung Wisdom,Song,Indie Rock,2010
ProducerOf,contributor,11003,Andrzej Kamyszek,Andrzej Kamyszek,Person,11002,The Maestro's Unsung Wisdom,Song,Indie Rock,2010
ComposerOf,contributor,11053,Tamara Douglas,Tamara Douglas,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
PerformerOf,contributor,11051,Anthony Burns,Anthony Burns,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
PerformerOf,contributor,11054,Guiying Liu,Guiying Liu,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
PerformerOf,contributor,11052,Jennifer Spencer,Jennifer Spencer,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
PerformerOf,contributor,11053,Tamara Douglas,Tamara Douglas,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
ProducerOf,contributor,11055,Min Shi,Min Shi,Person,11050,Conquests of the Passionate Soul,Song,Doom Metal,2010
ComposerOf,contributor,6063,Jun Xiong,Jun Xiong,Person,11078,Whispers Between Souls,Album,Southern Gothic Rock,2010
LyricistOf,contributor,11079,Mackenzie Murray,Mackenzie Murray,Person,11078,Whispers Between Souls,Album,Southern Gothic Rock,2010
PerformerOf,contributor,1227,Jun Xia,Jun Xia,Person,11078,Whispers Between Souls,Album,Southern Gothic Rock,2010
PerformerOf,contributor,6063,Jun Xiong,Jun Xiong,Person,11078,Whispers Between Souls,Album,Southern Gothic Rock,2010
ProducerOf,contributor,6062,Ping Mao,Ping Mao,Person,11078,Whispers Between Souls,Album,Southern Gothic Rock,2010
ComposerOf,contributor,16841,Phantom Syntax,Phantom Syntax,MusicalGroup,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
LyricistOf,contributor,4073,Patricia Hardy,Patricia Hardy,Person,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
PerformerOf,contributor,4072,Juan Xue,Juan Xue,Person,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
PerformerOf,contributor,4073,Patricia Hardy,Patricia Hardy,Person,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
PerformerOf,contributor,16841,Phantom Syntax,Phantom Syntax,MusicalGroup,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
PerformerOf,contributor,4075,Xia Du,Xia Du,Person,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
ProducerOf,contributor,4076,Leslie Mathis,Leslie Mathis,Person,11116,Bortom Mörkrets Rand (Beyond the Edge of Darkness),Song,Indie Folk,2010
ComposerOf,contributor,5049,Robert Knight,Robert Knight,Person,11195,Untethered Winds,Album,Americana,2010
LyricistOf,contributor,9991,Timothy Schmidt,Timothy Schmidt,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,11198,Gregory White,Gregory White,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,11196,Joshua Anderson,Joshua Anderson,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,11197,Mary Cisneros,Mary Cisneros,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,4196,Min Lei,Min Lei,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,5049,Robert Knight,Robert Knight,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,9991,Timothy Schmidt,Timothy Schmidt,Person,11195,Untethered Winds,Album,Americana,2010
PerformerOf,contributor,11199,Vanessa Clark,Vanessa Clark,Person,11195,Untethered Winds,Album,Americana,2010
ProducerOf,contributor,8948,Jing Deng,Jing Deng,Person,11195,Untethered Winds,Album,Americana,2010
ProducerOf,contributor,65,Sara Parker,Sara Parker,Person,11195,Untethered Winds,Album,Americana,2010
ComposerOf,contributor,1450,Michelle Byrd,Michelle Byrd,Person,11213,Dissertation Dance,Album,Indie Rock,2010
LyricistOf,contributor,10209,Matthew Gallagher,Matthew Gallagher,Person,11213,Dissertation Dance,Album,Indie Rock,2010
PerformerOf,contributor,10208,Gabriel Barr,Gabriel Barr,Person,11213,Dissertation Dance,Album,Indie Rock,2010
PerformerOf,contributor,10210,Michelle Smith,Michelle Smith,Person,11213,Dissertation Dance,Album,Indie Rock,2010
ComposerOf,contributor,3082,Tiffany Gill,Tiffany Gill,Person,11363,Fragile Wounds of Passion,Song,Blues Rock,2010
LyricistOf,contributor,11364,Gwendolyn Fitzgerald,Gwendolyn Fitzgerald,Person,11363,Fragile Wounds of Passion,Song,Blues Rock,2010
PerformerOf,contributor,6948,Lori Hall,Lori Hall,Person,11363,Fragile Wounds of Passion,Song,Blues Rock,2010
PerformerOf,contributor,16861,Cosmic Sankey,Cosmic Sankey,MusicalGroup,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
PerformerOf,contributor,5357,Emily Glenn,Emily Glenn,Person,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
PerformerOf,contributor,5358,Jing Xiang,Jing Xiang,Person,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
PerformerOf,contributor,296,Juan Long,Juan Long,Person,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
PerformerOf,contributor,5359,Na Luo,Na Luo,Person,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
PerformerOf,contributor,5360,Ping Xiang,Ping Xiang,Person,11377,Pristine and Pampered,Song,Psychedelic Rock,2010
ComposerOf,contributor,11426,Holly Love,Holly Love,Person,11424,Fragments of Our Memory,Album,Doom Metal,2010
PerformerOf,contributor,11425,Jamie Schmidt,Jamie Schmidt,Person,11424,Fragments of Our Memory,Album,Doom Metal,2010
ProducerOf,contributor,11425,Jamie Schmidt,Jamie Schmidt,Person,11424,Fragments of Our Memory,Album,Doom Metal,2010
PerformerOf,contributor,11433,Guiying Shen,Guiying Shen,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
PerformerOf,contributor,11437,Jie Tan,Jie Tan,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
PerformerOf,contributor,11435,Jie Zhou,Jie Zhou,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
PerformerOf,contributor,11434,Jun Meng,Jun Meng,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
PerformerOf,contributor,397,Qiang Meng,Qiang Meng,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
PerformerOf,contributor,11436,Seth Smith,Seth Smith,Person,11432,Snapshots of Almost Love,Song,Dream Pop,2010
ComposerOf,contributor,1098,Guiying Bai,Guiying Bai,Person,11449,Concrete Exhaust,Album,Emo/Pop Punk,2010
LyricistOf,contributor,1098,Guiying Bai,Guiying Bai,Person,11449,Concrete Exhaust,Album,Emo/Pop Punk,2010
PerformerOf,contributor,1098,Guiying Bai,Guiying Bai,Person,11449,Concrete Exhaust,Album,Emo/Pop Punk,2010
PerformerOf,contributor,1843,Chao Tan,Chao Tan,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,11489,Christine Turner,Christine Turner,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,11490,Li Dai,Li Dai,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,11487,Nicholas Porter,Nicholas Porter,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,4740,Victoria Higgins,Victoria Higgins,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,11486,Wei Qian,Wei Qian,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
PerformerOf,contributor,11488,Xiuying Jia,Xiuying Jia,Person,11485,Eternal Connection,Album,Oceanus Folk,2010
ComposerOf,contributor,2985,Yasuhiro Yamamoto,Yasuhiro Yamamoto,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
PerformerOf,contributor,2987,Akemi Sato,Akemi Sato,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
PerformerOf,contributor,2983,Hiroshi Nakamura,Hiroshi Nakamura,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
PerformerOf,contributor,2984,Sotaro Sato,Sotaro Sato,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
PerformerOf,contributor,2985,Yasuhiro Yamamoto,Yasuhiro Yamamoto,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
PerformerOf,contributor,2986,Yosuke Yamamoto,Yosuke Yamamoto,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
ProducerOf,contributor,2987,Akemi Sato,Akemi Sato,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
ProducerOf,contributor,2988,Rei Hayashi,Rei Hayashi,Person,11612,Growing Silhouettes,Song,Indie Folk,2010
ComposerOf,contributor,11702,Hans-Gerhard Kuhl,Sable,Person,11701,Carbon Breath,Album,Doom Metal,2010
LyricistOf,contributor,11703,Annaliese Bolnbach,Annaliese Bolnbach,Person,11701,Carbon Breath,Album,Doom Metal,2010
PerformerOf,contributor,11705,Hinrich Dörschner,Hinrich Dörschner,Person,11701,Carbon Breath,Album,Doom Metal,2010
PerformerOf,contributor,11702,Hans-Gerhard Kuhl,Sable,Person,11701,Carbon Breath,Album,Doom Metal,2010
ProducerOf,contributor,11704,Jens-Peter Mosemann,Jens-Peter Mosemann,Person,11701,Carbon Breath,Album,Doom Metal,2010
ComposerOf,contributor,11837,Kent Chen,Meridian,Person,11836,Unwritten Lines Between Shadows,Album,Oceanus Folk,2010
PerformerOf,contributor,11838,Russell Bates,Russell Bates,Person,11836,Unwritten Lines Between Shadows,Album,Oceanus Folk,2010
ProducerOf,contributor,11838,Russell Bates,Russell Bates,Person,11836,Unwritten Lines Between Shadows,Album,Oceanus Folk,2010
LyricistOf,contributor,11840,Imran de Bruijn-Hendrikse,Imran de Bruijn-Hendrikse,Person,11839,Pilgrims of Hope,Song,Indie Folk,2010
PerformerOf,contributor,11841,Hanna Aelftrud van Wessex,Hanna Aelftrud van Wessex,Person,11839,Pilgrims of Hope,Song,Indie Folk,2010
LyricistOf,contributor,12055,Francisco Krein-Möchlichen,Francisco Krein-Möchlichen,Person,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
PerformerOf,contributor,12053,Sarah Gardner,Bishop,Person,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
PerformerOf,contributor,16897,Bouncy Gong,Bouncy Gong,MusicalGroup,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
PerformerOf,contributor,12055,Francisco Krein-Möchlichen,Francisco Krein-Möchlichen,Person,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
PerformerOf,contributor,12056,Michael Maddox,Michael Maddox,Person,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
ProducerOf,contributor,16897,Bouncy Gong,Bouncy Gong,MusicalGroup,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
ProducerOf,contributor,12054,Jonathan Adams,Jonathan Adams,Person,12052,Chapters Yet Unwritten,Song,Dream Pop,2010
ComposerOf,contributor,3359,Aneta Pruschke-Sölzer,Aneta Pruschke-Sölzer,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
PerformerOf,contributor,3359,Aneta Pruschke-Sölzer,Aneta Pruschke-Sölzer,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
PerformerOf,contributor,8080,Cesare Cicilia,Cesare Cicilia,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
PerformerOf,contributor,2005,Coriolano Luria-Scialpi,Coriolano Luria-Scialpi,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
PerformerOf,contributor,2006,Filippo Pelli,Filippo Pelli,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
PerformerOf,contributor,3360,Isabella Farinelli,Isabella Farinelli,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
ProducerOf,contributor,2006,Filippo Pelli,Filippo Pelli,Person,12332,Whispers in Maria's Slumber,Song,Oceanus Folk,2010
ComposerOf,contributor,9108,Karina Hess,Karina Hess,Person,12408,Fragments of Self,Song,Doom Metal,2010
PerformerOf,contributor,12409,Angela Wolfe,Angela Wolfe,Person,12408,Fragments of Self,Song,Doom Metal,2010
ComposerOf,contributor,2559,Kimberly Stewart,Kimberly Stewart,Person,12505,Zero Hesitation,Song,Dream Pop,2010
LyricistOf,contributor,4762,Edwin Hansen,Edwin Hansen,Person,12505,Zero Hesitation,Song,Dream Pop,2010
PerformerOf,contributor,4762,Edwin Hansen,Edwin Hansen,Person,12505,Zero Hesitation,Song,Dream Pop,2010
PerformerOf,contributor,9047,Li Feng,Li Feng,Person,12505,Zero Hesitation,Song,Dream Pop,2010
PerformerOf,contributor,11039,Wei Shi,Wei Shi,Person,12505,Zero Hesitation,Song,Dream Pop,2010
PerformerOf,contributor,12506,Xiuying Tang,Xiuying Tang,Person,12505,Zero Hesitation,Song,Dream Pop,2010
ProducerOf,contributor,12507,Jennifer Olson,Jennifer Olson,Person,12505,Zero Hesitation,Song,Dream Pop,2010
ProducerOf,contributor,9047,Li Feng,Li Feng,Person,12505,Zero Hesitation,Song,Dream Pop,2010
ComposerOf,contributor,12522,Jing Wan,Jing Wan,Person,12521,Siren's Crosswalk,Song,Indie Folk,2010
PerformerOf,contributor,12523,Jun Long,Jun Long,Person,12521,Siren's Crosswalk,Song,Indie Folk,2010
ProducerOf,contributor,12523,Jun Long,Jun Long,Person,12521,Siren's Crosswalk,Song,Indie Folk,2010
ComposerOf,contributor,9537,Flora Karz,Flora Karz,Person,12546,Stěny mluví tiše (Walls Speak Softly),Song,Alternative Rock,2010
LyricistOf,contributor,5908,Georges Besnard,Georges Besnard,Person,12546,Stěny mluví tiše (Walls Speak Softly),Song,Alternative Rock,2010
PerformerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,12546,Stěny mluví tiše (Walls Speak Softly),Song,Alternative Rock,2010
ProducerOf,contributor,2110,Catherine Clay,Catherine Clay,Person,12546,Stěny mluví tiše (Walls Speak Softly),Song,Alternative Rock,2010
ComposerOf,contributor,12649,Fang Tan,Fang Tan,Person,12645,Roots of the Ancient Landmass,Song,Indie Folk,2010
PerformerOf,contributor,12646,Fang Jiang,Fang,Person,12645,Roots of the Ancient Landmass,Song,Indie Folk,2010
PerformerOf,contributor,12647,Sarah Riley,Sarah Riley,Person,12645,Roots of the Ancient Landmass,Song,Indie Folk,2010
PerformerOf,contributor,12648,Xia Qin,Xia Qin,Person,12645,Roots of the Ancient Landmass,Song,Indie Folk,2010
ProducerOf,contributor,12646,Fang Jiang,Fang,Person,12645,Roots of the Ancient Landmass,Song,Indie Folk,2010
PerformerOf,contributor,12758,Damini Datta,Damini Datta,Person,12756,Wings Over the Aegean,Song,Indie Folk,2010
PerformerOf,contributor,12757,Pari Chand,Pari Chand,Person,12756,Wings Over the Aegean,Song,Indie Folk,2010
ComposerOf,contributor,12912,Wei Wen,Wei Wen,Person,12910,If Only For A Moment,Album,Synthwave,2010
LyricistOf,contributor,12911,Min Zhou,Min Zhou,Person,12910,If Only For A Moment,Album,Synthwave,2010
PerformerOf,contributor,9786,Ping Cai,Ping Cai,Person,12910,If Only For A Moment,Album,Synthwave,2010
ProducerOf,contributor,12913,Jun Jin,Jun Jin,Person,12910,If Only For A Moment,Album,Synthwave,2010
PerformerOf,contributor,12948,Brooke Olson,Brooke Olson,Person,12947,"Gather, Believers!",Song,Blues Rock,2010
PerformerOf,contributor,4625,Ming Bai,Ming Bai,Person,12947,"Gather, Believers!",Song,Blues Rock,2010
ProducerOf,contributor,12948,Brooke Olson,Brooke Olson,Person,12947,"Gather, Believers!",Song,Blues Rock,2010
ComposerOf,contributor,12969,Guiying Fu,Guiying Fu,Person,12967,Echoes of Your Silence,Song,Dream Pop,2010
LyricistOf,contributor,12970,Jun Fang,Jun Fang,Person,12967,Echoes of Your Silence,Song,Dream Pop,2010
PerformerOf,contributor,12969,Guiying Fu,Guiying Fu,Person,12967,Echoes of Your Silence,Song,Dream Pop,2010
PerformerOf,contributor,12968,Qiang Xiao,Qiang Xiao,Person,12967,Echoes of Your Silence,Song,Dream Pop,2010
PerformerOf,contributor,13037,Janet Lewis,Janet Lewis,Person,13035,Mirage of Midnight Sands,Song,Indie Rock,2010
PerformerOf,contributor,13036,Julia Smith,Julia Smith,Person,13035,Mirage of Midnight Sands,Song,Indie Rock,2010
PerformerOf,contributor,13038,Lisa Wolfe,Lisa Wolfe,Person,13035,Mirage of Midnight Sands,Song,Indie Rock,2010
ProducerOf,contributor,13038,Lisa Wolfe,Lisa Wolfe,Person,13035,Mirage of Midnight Sands,Song,Indie Rock,2010
ComposerOf,contributor,160,Hans-Theo Eckbauer-Dehmel,Hans-Theo Eckbauer-Dehmel,Person,13423,Stereotype Rebel,Song,Indie Folk,2010
LyricistOf,contributor,10452,Erkan Barkholz,Erkan Barkholz,Person,13423,Stereotype Rebel,Song,Indie Folk,2010
PerformerOf,contributor,10451,Erdmute Hermann-Karge,Erdmute Hermann-Karge,Person,13423,Stereotype Rebel,Song,Indie Folk,2010
PerformerOf,contributor,160,Hans-Theo Eckbauer-Dehmel,Hans-Theo Eckbauer-Dehmel,Person,13423,Stereotype Rebel,Song,Indie Folk,2010
PerformerOf,contributor,12368,Jolanda Salz,Jolanda Salz,Person,13423,Stereotype Rebel,Song,Indie Folk,2010
ProducerOf,contributor,16820,Melodic Mischief,Melodic Mischief,MusicalGroup,13423,Stereotype Rebel,Song,Indie Folk,2010
PerformerOf,contributor,16746,Arctic Scholars,Arctic Scholars,MusicalGroup,13484,Ballot Box Rodent,Album,Indie Rock,2010
PerformerOf,contributor,1858,Li Lu,Li Lu,Person,13484,Ballot Box Rodent,Album,Indie Rock,2010
PerformerOf,contributor,13485,Qiang Yuan,Qiang Yuan,Person,13484,Ballot Box Rodent,Album,Indie Rock,2010
ProducerOf,contributor,878,Jing Kang,Jing Kang,Person,13484,Ballot Box Rodent,Album,Indie Rock,2010
ComposerOf,contributor,2591,Theresa Rivera,Theresa Rivera,Person,13528,Sparks of Liberty,Song,Synthwave,2010
LyricistOf,contributor,13330,Li He,Li He,Person,13528,Sparks of Liberty,Song,Synthwave,2010
PerformerOf,contributor,1241,Fang Su,Fang Su,Person,13528,Sparks of Liberty,Song,Synthwave,2010
PerformerOf,contributor,13330,Li He,Li He,Person,13528,Sparks of Liberty,Song,Synthwave,2010
PerformerOf,contributor,2591,Theresa Rivera,Theresa Rivera,Person,13528,Sparks of Liberty,Song,Synthwave,2010
ProducerOf,contributor,13529,Yong Xiao,Yong Xiao,Person,13528,Sparks of Liberty,Song,Synthwave,2010
PerformerOf,contributor,16872,Collective Conscience,Collective Conscience,MusicalGroup,13591,Echoes of a Sylvan Daydream,Song,Doom Metal,2010
PerformerOf,contributor,10794,Frédéric de la Coulon,Frédéric de la Coulon,Person,13591,Echoes of a Sylvan Daydream,Song,Doom Metal,2010
PerformerOf,contributor,10798,Valérie Mathieu,Valérie Mathieu,Person,13591,Echoes of a Sylvan Daydream,Song,Doom Metal,2010
ComposerOf,contributor,13037,Janet Lewis,Janet Lewis,Person,13627,Roots and Resonance,Song,Indie Rock,2010
PerformerOf,contributor,13038,Lisa Wolfe,Lisa Wolfe,Person,13627,Roots and Resonance,Song,Indie Rock,2010
ProducerOf,contributor,13038,Lisa Wolfe,Lisa Wolfe,Person,13627,Roots and Resonance,Song,Indie Rock,2010
ComposerOf,contributor,13653,Orlando Garzoni,Orlando Garzoni,Person,13651,Just Beyond the Horizon,Song,Doom Metal,2010
LyricistOf,contributor,13652,Margherita Montanari,Margherita Montanari,Person,13651,Just Beyond the Horizon,Song,Doom Metal,2010
PerformerOf,contributor,13653,Orlando Garzoni,Orlando Garzoni,Person,13651,Just Beyond the Horizon,Song,Doom Metal,2010
ProducerOf,contributor,9162,Gioele Monte,Gioele Monte,Person,13651,Just Beyond the Horizon,Song,Doom Metal,2010
LyricistOf,contributor,13686,Ming Xia,Ming Xia,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,13684,Jun Mao,Jun Mao,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,13686,Ming Xia,Ming Xia,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,12846,Patricia Humphrey,Patricia Humphrey,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,13685,Ping Fu,Ping Fu,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,13682,Wei Feng,Wei Feng,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
PerformerOf,contributor,13683,Yong Wei,Yong Wei,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
ProducerOf,contributor,13682,Wei Feng,Wei Feng,Person,13681,Stitching Sacrifice,Song,Indie Folk,2010
ComposerOf,contributor,13749,Michele Sharp,Michele Sharp,Person,13747,Echoes of a Departure,Song,Doom Metal,2010
PerformerOf,contributor,13748,Kerry Henry,Kerry Henry,Person,13747,Echoes of a Departure,Song,Doom Metal,2010
ProducerOf,contributor,13748,Kerry Henry,Kerry Henry,Person,13747,Echoes of a Departure,Song,Doom Metal,2010
PerformerOf,contributor,13944,Gang Fan,Gang Fan,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
PerformerOf,contributor,3226,Jie Ding,Jie Ding,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
PerformerOf,contributor,13942,Juan Zhao,Juan Zhao,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
PerformerOf,contributor,1873,Li Ma,Li Ma,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
PerformerOf,contributor,13943,Ping Jiang,Ping Jiang,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
ProducerOf,contributor,13942,Juan Zhao,Juan Zhao,Person,13941,Melody of Shared Understanding,Song,Synthwave,2010
LyricistOf,contributor,13987,Xiuying Cai,PRVYER,Person,13986,Silhouettes of Unwritten Lines,Song,Dream Pop,2010
PerformerOf,contributor,13987,Xiuying Cai,PRVYER,Person,13986,Silhouettes of Unwritten Lines,Song,Dream Pop,2010
PerformerOf,contributor,13988,Tao Yuan,Tao Yuan,Person,13986,Silhouettes of Unwritten Lines,Song,Dream Pop,2010
ProducerOf,contributor,13989,Guiying Wen,Guiying Wen,Person,13986,Silhouettes of Unwritten Lines,Song,Dream Pop,2010
LyricistOf,contributor,13998,Claudius Geißler,Claudius Geißler,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,14001,Antonia Mülichen,Antonia Mülichen,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,13998,Claudius Geißler,Claudius Geißler,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,13999,Gerard Hornig,Gerard Hornig,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,14000,Ildiko Carsten-Thies,Ildiko Carsten-Thies,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,14002,Krystyna Lübs,Krystyna Lübs,Person,13997,Healing Together,Album,Doom Metal,2010
PerformerOf,contributor,3135,Chelsea Martinez,Chelsea Martinez,Person,14034,Monotonía Infinita,Song,Indie Rock,2010
ProducerOf,contributor,3631,Jasmine Atkins,Jasmine Atkins,Person,14034,Monotonía Infinita,Song,Indie Rock,2010
PerformerOf,contributor,14079,Kyle Daniel,Kyle Daniel,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
PerformerOf,contributor,14077,Laura Roberts,Laura Roberts,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
PerformerOf,contributor,14078,Matthew Li,Matthew Li,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
PerformerOf,contributor,6348,Tao Guo,Tao Guo,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
PerformerOf,contributor,14076,Katrina Valentine,Vector Blue,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
ProducerOf,contributor,14079,Kyle Daniel,Kyle Daniel,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
ProducerOf,contributor,6348,Tao Guo,Tao Guo,Person,14075,Melodies of Golden Light,Song,Psychedelic Rock,2010
PerformerOf,contributor,14267,Ryohei Sato,Ryohei Sato,Person,14266,Bella Vita Rhythm,Album,Indie Folk,2010
PerformerOf,contributor,14268,Steve Washington,Steve Washington,Person,14266,Bella Vita Rhythm,Album,Indie Folk,2010
PerformerOf,contributor,7762,Taichi Watanabe,Taichi Watanabe,Person,14266,Bella Vita Rhythm,Album,Indie Folk,2010
ProducerOf,contributor,14267,Ryohei Sato,Ryohei Sato,Person,14266,Bella Vita Rhythm,Album,Indie Folk,2010
ComposerOf,contributor,14343,Frederik Hartung,Frederik Hartung,Person,14342,Brushstrokes of Memory,Song,Dream Pop,2010
PerformerOf,contributor,14343,Frederik Hartung,Frederik Hartung,Person,14342,Brushstrokes of Memory,Song,Dream Pop,2010
ComposerOf,contributor,14393,Guido Sbarbaro,Guido Sbarbaro,Person,14392,Dollars and Silence,Song,Americana,2010
ComposerOf,contributor,14396,Valentina Ungaretti-Pucci,Valentina Ungaretti-Pucci,Person,14392,Dollars and Silence,Song,Americana,2010
LyricistOf,contributor,2006,Filippo Pelli,Filippo Pelli,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,2006,Filippo Pelli,Filippo Pelli,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,11832,Beppe Agazzi-Muratori,Foster,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,16755,Interval Shift,Interval Shift,MusicalGroup,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,2004,Martino Michelangeli,Martino Michelangeli,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,2781,Michelangelo Berlusconi,Michelangelo Berlusconi,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,14395,Rosaria Ferrara,Rosaria Ferrara,Person,14392,Dollars and Silence,Song,Americana,2010
PerformerOf,contributor,14394,Todd Reed,Todd Reed,Person,14392,Dollars and Silence,Song,Americana,2010
ProducerOf,contributor,11832,Beppe Agazzi-Muratori,Foster,Person,14392,Dollars and Silence,Song,Americana,2010
