influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
InterpolatesFrom,2549,Island Time Suspension,Island Time Suspension,Song,Alternative Rock,2017,14749,Whispers About Wendy,Whispers About Wendy,Song,Alternative Rock,2010
InterpolatesFrom,3616,Fever's Whisper,Fever's Whisper,Song,Indie Folk,2017,14266,Bella Vita Rhythm,Bella Vita Rhythm,Album,Indie Folk,2010
InterpolatesFrom,4680,Eh?,Eh?,Album,Dream Pop,2017,9511,Circuitry of Pulse,Circuitry of Pulse,Song,Dream Pop,2010
InterpolatesFrom,5574,Our Inevitable Path,Our Inevitable Path,Song,Indie Folk,2017,4413,Reboot: Pathways Ahead,Reboot: Pathways Ahead,Song,Symphonic Metal,2010
InterpolatesFrom,6417,Whispers from a Distant Refrain,Whispers from a Distant Refrain,Album,Oceanus Folk,2017,1841,Ripples and Whispers,Ripples and Whispers,Song,Indie Folk,2010
InterpolatesFrom,7077,Mercy Beyond Blades,Mercy Beyond Blades,Song,Psychedelic Rock,2017,14551,Whispers of the Cojutepeque Streets,Whispers of the Cojutepeque Streets,Album,Psychedelic Rock,2010
InterpolatesFrom,7291,Twisted Strands,Twisted Strands,Song,Dream Pop,2017,8233,Roots and Winds of Departure,Roots and Winds of Departure,Song,Oceanus Folk,2010
InterpolatesFrom,7971,Blind to the Truth,Blind to the Truth,Song,Dream Pop,2017,16719,The Conductor's Last Whisper,The Conductor's Last Whisper,Album,Psychedelic Rock,2010
InterpolatesFrom,8215,Retrograde Love,Retrograde Love,Album,Doom Metal,2017,8888,Bonds of Ducats,Bonds of Ducats,Song,Indie Rock,2010
InterpolatesFrom,8776,Fragrant Heart's Melody,Fragrant Heart's Melody,Album,Indie Folk,2017,13681,Stitching Sacrifice,Stitching Sacrifice,Song,Indie Folk,2010
InterpolatesFrom,8813,Whispers Across the Pacific,Whispers Across the Pacific,Album,Alternative Rock,2017,3013,Perfect Stranger,Perfect Stranger,Song,Alternative Rock,2010
InterpolatesFrom,9719,Soldiers' Requiem,Soldiers' Requiem,Album,Speed Metal,2017,14976,Fool's Parade,Fool's Parade,Song,Speed Metal,2010
InterpolatesFrom,9999,Lessons from the Winter Graveyard,Lessons from the Winter Graveyard,Song,Indie Folk,2017,8630,Echoes of the Hearth,Echoes of the Hearth,Song,Indie Folk,2010
InterpolatesFrom,11005,Welcome to the Kemono Sanctuary,Welcome to the Kemono Sanctuary,Song,Indie Folk,2017,1841,Ripples and Whispers,Ripples and Whispers,Song,Indie Folk,2010
InterpolatesFrom,14987,The Idiot's Lament,The Idiot's Lament,Song,Doom Metal,2017,8231,"Distant Horizons, Tender Goodbyes","Distant Horizons, Tender Goodbyes",Song,Synthwave,2010
InterpolatesFrom,14987,The Idiot's Lament,The Idiot's Lament,Song,Doom Metal,2017,1841,Ripples and Whispers,Ripples and Whispers,Song,Indie Folk,2010
InterpolatesFrom,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,1841,Ripples and Whispers,Ripples and Whispers,Song,Indie Folk,2010
LyricalReferenceTo,71,Forgotten Incantation,Forgotten Incantation,Album,Indie Folk,2017,15899,Speak Between Lines,Speak Between Lines,Song,Indie Folk,2010
LyricalReferenceTo,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,14075,Melodies of Golden Light,Melodies of Golden Light,Song,Psychedelic Rock,2010
LyricalReferenceTo,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,13941,Melody of Shared Understanding,Melody of Shared Understanding,Song,Synthwave,2010
LyricalReferenceTo,3080,Rescind the Instigator,Rescind the Instigator,Song,Avant-Garde Folk,2017,14644,Drop the Letter,Drop the Letter,Song,Avant-Garde Folk,2010
LyricalReferenceTo,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017,11836,Unwritten Lines Between Shadows,Unwritten Lines Between Shadows,Album,Oceanus Folk,2010
LyricalReferenceTo,3219,Crystalline Interlude for Ethereal Voices,Crystalline Interlude for Ethereal Voices,Song,Indie Folk,2017,8888,Bonds of Ducats,Bonds of Ducats,Song,Indie Rock,2010
LyricalReferenceTo,4801,Rhythm Rebellion,Rhythm Rebellion,Song,Psychedelic Rock,2017,16719,The Conductor's Last Whisper,The Conductor's Last Whisper,Album,Psychedelic Rock,2010
LyricalReferenceTo,6949,Whispered Benedictions,Whispered Benedictions,Song,Indie Rock,2017,10645,Intimate Interludes for Ivory Keys,Intimate Interludes for Ivory Keys,Song,Synthwave,2010
LyricalReferenceTo,7074,Fractured Expressions,Fractured Expressions,Song,Indie Folk,2017,8888,Bonds of Ducats,Bonds of Ducats,Song,Indie Rock,2010
LyricalReferenceTo,7345,Whispers Behind Walls,Whispers Behind Walls,Album,Alternative Rock,2017,7920,Manifest Destiny Blues,Manifest Destiny Blues,Song,Oceanus Folk,2010
LyricalReferenceTo,7345,Whispers Behind Walls,Whispers Behind Walls,Album,Alternative Rock,2017,14266,Bella Vita Rhythm,Bella Vita Rhythm,Album,Indie Folk,2010
LyricalReferenceTo,7902,Winds of Emancipated Skies,Winds of Emancipated Skies,Song,Indie Folk,2017,438,Parisian Shadows on the Hill,Parisian Shadows on the Hill,Song,Dream Pop,2010
LyricalReferenceTo,8717,Midnight's Sacred Breath,Midnight's Sacred Breath,Song,Doom Metal,2017,13681,Stitching Sacrifice,Stitching Sacrifice,Song,Indie Folk,2010
LyricalReferenceTo,9807,White Picket Prison,White Picket Prison,Song,Lo-Fi Electronica,2017,10417,Carnival Whispers,Carnival Whispers,Song,Lo-Fi Electronica,2010
LyricalReferenceTo,10759,Whispers of Your Memory,Whispers of Your Memory,Song,Avant-Garde Folk,2017,1772,Heavy Eyelids of Twilight,Heavy Eyelids of Twilight,Song,Southern Gothic Rock,2010
LyricalReferenceTo,13255,Whimsical Fragments,Whimsical Fragments,Song,Indie Folk,2017,7615,The Grayscale of Reason,The Grayscale of Reason,Album,Indie Folk,2010
LyricalReferenceTo,14048,Lavender and Lace of the Left Bank,Lavender and Lace of the Left Bank,Song,Indie Folk,2017,6901,Love's Bruise,Love's Bruise,Song,Indie Folk,2010
LyricalReferenceTo,15793,Masculine Lullaby,Masculine Lullaby,Song,Indie Folk,2017,14965,Honeymoon Whispers,Honeymoon Whispers,Song,Doom Metal,2010
CoverOf,16209,The Void Inside,The Void Inside,Song,Dream Pop,2017,7551,Shadows of the Undying Famine,Shadows of the Undying Famine,Song,Indie Folk,2011
InStyleOf,846,Polished Perfection,Polished Perfection,Song,Doom Metal,2017,10361,Unbroken Chains,Unbroken Chains,Song,Post-Apocalyptic Folk,2011
InStyleOf,6864,Echoes from the Elfin Veil,Echoes from the Elfin Veil,Song,Avant-Garde Folk,2017,1853,Reflections on the Water's Rim,Reflections on the Water's Rim,Song,Avant-Garde Folk,2011
InStyleOf,8215,Retrograde Love,Retrograde Love,Album,Doom Metal,2017,402,The Final Brew,The Final Brew,Song,Synthwave,2011
InStyleOf,8680,Celestial Tribunal,Celestial Tribunal,Album,Lo-Fi Electronica,2017,5643,"Farewell, My Heartache","Farewell, My Heartache",Song,Lo-Fi Electronica,2011
InStyleOf,9807,White Picket Prison,White Picket Prison,Song,Lo-Fi Electronica,2017,5643,"Farewell, My Heartache","Farewell, My Heartache",Song,Lo-Fi Electronica,2011
InStyleOf,10759,Whispers of Your Memory,Whispers of Your Memory,Song,Avant-Garde Folk,2017,13933,Echoes of a Universal Tongue,Echoes of a Universal Tongue,Album,Southern Gothic Rock,2011
LyricalReferenceTo,4167,The Interest Rises,The Interest Rises,Album,Southern Gothic Rock,2017,2331,Primavera's Whisper,Primavera's Whisper,Song,Blues Rock,2011
LyricalReferenceTo,9122,Radiant Descent,Radiant Descent,Album,Lo-Fi Electronica,2017,5643,"Farewell, My Heartache","Farewell, My Heartache",Song,Lo-Fi Electronica,2011
LyricalReferenceTo,10812,Silent Protocol,Silent Protocol,Song,Emo/Pop Punk,2017,2331,Primavera's Whisper,Primavera's Whisper,Song,Blues Rock,2011
LyricalReferenceTo,12867,Pulse of Desire,Pulse of Desire,Song,Indie Rock,2017,11740,Guenerina's Lament,Guenerina's Lament,Song,Indie Rock,2011
LyricalReferenceTo,16209,The Void Inside,The Void Inside,Song,Dream Pop,2017,14799,Miniature Melodies of Unspoken Love,Miniature Melodies of Unspoken Love,Song,Dream Pop,2011
DirectlySamples,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,16478,Nine Nights of Wisdom,Nine Nights of Wisdom,Album,Psychedelic Rock,2012
DirectlySamples,4167,The Interest Rises,The Interest Rises,Album,Southern Gothic Rock,2017,5840,Beyond Farewell's Shadow,Beyond Farewell's Shadow,Song,Southern Gothic Rock,2012
DirectlySamples,9766,Celestial Glow,Celestial Glow,Album,Doom Metal,2017,13364,The Farmer's Lament,The Farmer's Lament,Album,Indie Rock,2012
InStyleOf,8717,Midnight's Sacred Breath,Midnight's Sacred Breath,Song,Doom Metal,2017,13990,The Feminine Manuscript,The Feminine Manuscript,Song,Post-Apocalyptic Folk,2012
InStyleOf,9285,Unbridled Bliss,Unbridled Bliss,Song,Dream Pop,2017,13903,Nasal Meatball Misadventures,Nasal Meatball Misadventures,Album,Alternative Rock,2012
InStyleOf,15844,Different Kind of Woman,Different Kind of Woman,Song,Americana,2017,9488,Imperial Shadows,Imperial Shadows,Song,Synthwave,2012
InterpolatesFrom,6839,Street Dance Symphony,Street Dance Symphony,Song,Doom Metal,2017,12425,Burning Chains of Desire,Burning Chains of Desire,Song,Synthwave,2012
InterpolatesFrom,9479,The March of a Thousand Boots,The March of a Thousand Boots,Song,Dream Pop,2017,15539,"Soft Petals, Quiet Memories","Soft Petals, Quiet Memories",Song,Dream Pop,2012
InterpolatesFrom,10657,Antlers of Moonlight,Antlers of Moonlight,Song,Dream Pop,2017,15539,"Soft Petals, Quiet Memories","Soft Petals, Quiet Memories",Song,Dream Pop,2012
InterpolatesFrom,10759,Whispers of Your Memory,Whispers of Your Memory,Song,Avant-Garde Folk,2017,2493,Chapters Untold,Chapters Untold,Song,Southern Gothic Rock,2012
LyricalReferenceTo,10994,Forgotten Grace: A Milagros Tale,Forgotten Grace: A Milagros Tale,Song,Southern Gothic Rock,2017,12233,Breaking Point,Breaking Point,Song,Indie Pop,2012
CoverOf,766,Daughters of the Scorched Earth,Daughters of the Scorched Earth,Song,Psychedelic Rock,2017,13603,Beyond the Broken,Beyond the Broken,Song,Psychedelic Rock,2013
CoverOf,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,10218,Highland Crossing,Highland Crossing,Song,Americana,2013
CoverOf,2161,Departure Protocol,Departure Protocol,Song,Desert Rock,2017,14945,Shadows of Julie,Shadows of Julie,Album,Indie Folk,2013
CoverOf,2561,Strings of Swedish Liberation,Strings of Swedish Liberation,Album,Synthwave,2017,12678,The Last Horizon,The Last Horizon,Song,Synthwave,2013
CoverOf,2996,Chamber of Forgotten Echoes,Chamber of Forgotten Echoes,Song,Dream Pop,2017,6624,Sage Steps Through Sunlight,Sage Steps Through Sunlight,Song,Indie Folk,2013
CoverOf,3358,Carry Me Through,Carry Me Through,Song,Dream Pop,2017,8079,Glance My Way,Glance My Way,Song,Oceanus Folk,2013
CoverOf,4288,Silver Serenade,Silver Serenade,Song,Desert Rock,2017,4459,Neon Bootstraps,Neon Bootstraps,Song,Synthwave,2013
CoverOf,4400,The Lower Depths,The Lower Depths,Song,Indie Rock,2017,13229,Throne and Tears,Throne and Tears,Song,Doom Metal,2013
CoverOf,8987,Blossoms and Boulevards,Blossoms and Boulevards,Song,Synthwave,2017,4619,Whispers from the Foggy Nursery,Whispers from the Foggy Nursery,Song,Doom Metal,2013
CoverOf,9122,Radiant Descent,Radiant Descent,Album,Lo-Fi Electronica,2017,13985,Seven Verses Before Dawn,Seven Verses Before Dawn,Song,Lo-Fi Electronica,2013
CoverOf,9479,The March of a Thousand Boots,The March of a Thousand Boots,Song,Dream Pop,2017,4283,Celestial Echoes,Celestial Echoes,Song,Dream Pop,2013
CoverOf,9766,Celestial Glow,Celestial Glow,Album,Doom Metal,2017,11521,The Whispers of Cawfield,The Whispers of Cawfield,Song,Doom Metal,2013
CoverOf,11014,Wilderness Melody: A Park's Harmony,Wilderness Melody: A Park's Harmony,Song,Indie Folk,2017,16274,Stately Procession,Stately Procession,Song,Indie Folk,2013
CoverOf,13436,Infinite Horizon,Infinite Horizon,Song,Doom Metal,2017,7250,Pelkkä Sinä (Just You),Pelkkä Sinä (Just You),Song,Doom Metal,2013
CoverOf,15009,Hungarian Rhapsody for Cello and Whispered Keys,Hungarian Rhapsody for Cello and Whispered Keys,Song,Indie Folk,2017,8029,Invisible Borders,Invisible Borders,Song,Desert Rock,2013
CoverOf,16705,Pasir Putih Memories,Pasir Putih Memories,Song,Synthwave,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
DirectlySamples,8096,Fever Dream,Fever Dream,Song,Indie Folk,2017,14291,Judicial Dreams of a Rotund Reformer,Judicial Dreams of a Rotund Reformer,Song,Americana,2013
DirectlySamples,8251,Gerak Membangun Desa,Gerak Membangun Desa,Song,Doom Metal,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
DirectlySamples,8477,Thursday Night Fever,Thursday Night Fever,Song,Synthwave,2017,6080,Starlit Chains,Starlit Chains,Song,Doom Metal,2013
DirectlySamples,12105,Mannequin's Whisper,Mannequin's Whisper,Song,Southern Gothic Rock,2017,9586,Reindeer Breath Melody,Reindeer Breath Melody,Album,Indie Pop,2013
InStyleOf,766,Daughters of the Scorched Earth,Daughters of the Scorched Earth,Song,Psychedelic Rock,2017,16512,The Day That Changes Everything,The Day That Changes Everything,Song,Americana,2013
InStyleOf,1902,Özgürlük Şarkısı (Song of Freedom),Özgürlük Şarkısı (Song of Freedom),Song,Americana,2017,10398,Shadows of Mistaken Identity,Shadows of Mistaken Identity,Song,Indie Folk,2013
InStyleOf,3160,Tied Together by Gravity,Tied Together by Gravity,Song,Symphonic Metal,2017,2577,Chromatic Cascades in Minor,Chromatic Cascades in Minor,Song,Synthwave,2013
InStyleOf,3358,Carry Me Through,Carry Me Through,Song,Dream Pop,2017,12365,Lonesome Trail Ballad,Lonesome Trail Ballad,Song,Americana,2013
InStyleOf,5527,Voiceless Devotion,Voiceless Devotion,Song,Psychedelic Rock,2017,1642,Whispers from the Colosseum Stands,Whispers from the Colosseum Stands,Song,Desert Rock,2013
InStyleOf,6318,Stare Down the Distance,Stare Down the Distance,Song,Americana,2017,13758,Whispers of the Shoreline,Whispers of the Shoreline,Song,Indie Folk,2013
InStyleOf,6358,Deluge of Devotion,Deluge of Devotion,Song,Doom Metal,2017,13220,Glowing Embrace,Glowing Embrace,Song,Doom Metal,2013
InStyleOf,6864,Echoes from the Elfin Veil,Echoes from the Elfin Veil,Song,Avant-Garde Folk,2017,3512,Andalusian Rhythm,Andalusian Rhythm,Song,Indie Pop,2013
InStyleOf,7296,Intertwined Hearts,Intertwined Hearts,Song,Symphonic Metal,2017,16084,"Curved Bow, Singing Wire","Curved Bow, Singing Wire",Song,Doom Metal,2013
InStyleOf,9807,White Picket Prison,White Picket Prison,Song,Lo-Fi Electronica,2017,15024,Silent Whispers of Unanswered Questions,Silent Whispers of Unanswered Questions,Song,Lo-Fi Electronica,2013
InStyleOf,10759,Whispers of Your Memory,Whispers of Your Memory,Song,Avant-Garde Folk,2017,1411,Unpack My Heart,Unpack My Heart,Song,Southern Gothic Rock,2013
InStyleOf,10759,Whispers of Your Memory,Whispers of Your Memory,Song,Avant-Garde Folk,2017,7662,Sunlight and Vows,Sunlight and Vows,Song,Southern Gothic Rock,2013
InStyleOf,12691,Winds of the Basque Shore,Winds of the Basque Shore,Album,Oceanus Folk,2017,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013
InStyleOf,13255,Whimsical Fragments,Whimsical Fragments,Song,Indie Folk,2017,4059,Echoes from Katharina's Heart,Echoes from Katharina's Heart,Song,Doom Metal,2013
InStyleOf,14951,Postcards from Julie's Window,Postcards from Julie's Window,Album,Indie Folk,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
InStyleOf,15150,Farewell to the Corner House,Farewell to the Corner House,Song,Southern Gothic Rock,2017,4169,Stranger's Silhouette,Stranger's Silhouette,Song,Southern Gothic Rock,2013
InStyleOf,15793,Masculine Lullaby,Masculine Lullaby,Song,Indie Folk,2017,14618,Falling Without Touching,Falling Without Touching,Song,Indie Folk,2013
InStyleOf,16437,Regiments and Rainbows,Regiments and Rainbows,Song,Indie Rock,2017,1869,Echoes from the Dark Chord,Echoes from the Dark Chord,Song,Indie Rock,2013
InStyleOf,16665,Listen Up!,Listen Up!,Song,Doom Metal,2017,962,El Eco de Mis Sentidos (The Echo of My Senses),El Eco de Mis Sentidos (The Echo of My Senses),Song,Indie Folk,2013
InStyleOf,16665,Listen Up!,Listen Up!,Song,Doom Metal,2017,14136,Sonnets of the Heart,Sonnets of the Heart,Song,Doom Metal,2013
InterpolatesFrom,912,Footsteps of Men,Footsteps of Men,Song,Indie Folk,2017,3939,The Slow Fade,The Slow Fade,Song,Space Rock,2013
InterpolatesFrom,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,16512,The Day That Changes Everything,The Day That Changes Everything,Song,Americana,2013
InterpolatesFrom,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013
InterpolatesFrom,4288,Silver Serenade,Silver Serenade,Song,Desert Rock,2017,12109,Whispers of Fury,Whispers of Fury,Song,Doom Metal,2013
InterpolatesFrom,6839,Street Dance Symphony,Street Dance Symphony,Song,Doom Metal,2017,16017,Chamber of Resonant Shadows,Chamber of Resonant Shadows,Song,Indie Rock,2013
InterpolatesFrom,7281,When Shadows Consume Me,When Shadows Consume Me,Song,Doom Metal,2017,5425,Memories of the Nordic Maiden,Memories of the Nordic Maiden,Song,Doom Metal,2013
InterpolatesFrom,8428,Alloy Architect,Alloy Architect,Album,Indie Folk,2017,16366,Azure Horizons,Azure Horizons,Album,Doom Metal,2013
InterpolatesFrom,9122,Radiant Descent,Radiant Descent,Album,Lo-Fi Electronica,2017,15024,Silent Whispers of Unanswered Questions,Silent Whispers of Unanswered Questions,Song,Lo-Fi Electronica,2013
InterpolatesFrom,10561,Silent Scream,Silent Scream,Song,Indie Folk,2017,2931,Breaking Dawn,Breaking Dawn,Song,Symphonic Metal,2013
InterpolatesFrom,10982,Street Legend's Samba,Street Legend's Samba,Song,Darkwave,2017,14082,Radiant Chorus at Dawn,Radiant Chorus at Dawn,Album,Darkwave,2013
InterpolatesFrom,10982,Street Legend's Samba,Street Legend's Samba,Song,Darkwave,2017,6624,Sage Steps Through Sunlight,Sage Steps Through Sunlight,Song,Indie Folk,2013
InterpolatesFrom,16396,Saltwater Metamorphosis,Saltwater Metamorphosis,Album,Doom Metal,2017,15772,Meadow's Gentle Harvest,Meadow's Gentle Harvest,Album,Synthwave,2013
LyricalReferenceTo,48,Arcane Whispers,Arcane Whispers,Song,Indie Folk,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
LyricalReferenceTo,7281,When Shadows Consume Me,When Shadows Consume Me,Song,Doom Metal,2017,12678,The Last Horizon,The Last Horizon,Song,Synthwave,2013
LyricalReferenceTo,7646,Rough Road Ahead,Rough Road Ahead,Song,Indie Folk,2017,6643,The Companion's Heart,The Companion's Heart,Song,Indie Folk,2013
LyricalReferenceTo,9397,Lessons Between Borders,Lessons Between Borders,Song,Synthwave,2017,14291,Judicial Dreams of a Rotund Reformer,Judicial Dreams of a Rotund Reformer,Song,Americana,2013
LyricalReferenceTo,9681,Whispers of Gaia,Whispers of Gaia,Album,Indie Folk,2017,10461,Echoes of Passion,Echoes of Passion,Song,Dream Pop,2013
LyricalReferenceTo,10415,Sinking Serenade,Sinking Serenade,Song,Indie Folk,2017,13399,Ringtone Requiem,Ringtone Requiem,Song,Indie Folk,2013
LyricalReferenceTo,10657,Antlers of Moonlight,Antlers of Moonlight,Song,Dream Pop,2017,4283,Celestial Echoes,Celestial Echoes,Song,Dream Pop,2013
LyricalReferenceTo,11005,Welcome to the Kemono Sanctuary,Welcome to the Kemono Sanctuary,Song,Indie Folk,2017,12365,Lonesome Trail Ballad,Lonesome Trail Ballad,Song,Americana,2013
LyricalReferenceTo,11726,Today Feels Like Forever,Today Feels Like Forever,Song,Indie Folk,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
LyricalReferenceTo,11744,Whispers of a Forgotten Name,Whispers of a Forgotten Name,Album,Indie Rock,2017,8190,Echoes of the Unheard,Echoes of the Unheard,Album,Indie Rock,2013
LyricalReferenceTo,13297,Debt of Honor,Debt of Honor,Song,Lo-Fi Electronica,2017,13985,Seven Verses Before Dawn,Seven Verses Before Dawn,Song,Lo-Fi Electronica,2013
LyricalReferenceTo,14645,Linguistic Liberation,Linguistic Liberation,Song,Doom Metal,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
LyricalReferenceTo,15009,Hungarian Rhapsody for Cello and Whispered Keys,Hungarian Rhapsody for Cello and Whispered Keys,Song,Indie Folk,2017,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
LyricalReferenceTo,15441,Choreography of Forbidden Passion,Choreography of Forbidden Passion,Song,Oceanus Folk,2017,15071,Voices of the Frontier,Voices of the Frontier,Album,Synthwave,2013
LyricalReferenceTo,16137,Steadfast Kingdom,Steadfast Kingdom,Album,Oceanus Folk,2017,9249,Twilight of Resilience,Twilight of Resilience,Song,Indie Folk,2013
CoverOf,9280,Sunbeam Symphony,Sunbeam Symphony,Song,Alternative Rock,2017,15055,Tre melankolske vers,Tre melankolske vers,Song,Blues Rock,2014
CoverOf,13436,Infinite Horizon,Infinite Horizon,Song,Doom Metal,2017,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014
CoverOf,16048,Tender Expectations,Tender Expectations,Song,Dream Pop,2017,12538,"Dreaming in Red, White, and Blue","Dreaming in Red, White, and Blue",Album,Symphonic Metal,2014
InStyleOf,3358,Carry Me Through,Carry Me Through,Song,Dream Pop,2017,9709,Fragments of Consciousness,Fragments of Consciousness,Song,Oceanus Folk,2014
InStyleOf,13530,Fireworks and Freedom,Fireworks and Freedom,Song,Oceanus Folk,2017,6524,Tenement of Freedom,Tenement of Freedom,Song,Oceanus Folk,2014
InterpolatesFrom,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,6915,Ember of Devotion,Ember of Devotion,Song,Symphonic Metal,2014
InterpolatesFrom,7971,Blind to the Truth,Blind to the Truth,Song,Dream Pop,2017,7897,Cloudscape of Resistance,Cloudscape of Resistance,Song,Post-Apocalyptic Folk,2014
InterpolatesFrom,10812,Silent Protocol,Silent Protocol,Song,Emo/Pop Punk,2017,15894,Ethereal Threshold,Ethereal Threshold,Song,Indie Pop,2014
LyricalReferenceTo,12105,Mannequin's Whisper,Mannequin's Whisper,Song,Southern Gothic Rock,2017,15744,Broken Again,Broken Again,Song,Indie Pop,2014
CoverOf,3080,Rescind the Instigator,Rescind the Instigator,Song,Avant-Garde Folk,2017,15388,Echoes of the Koto,Echoes of the Koto,Song,Avant-Garde Folk,2015
CoverOf,6864,Echoes from the Elfin Veil,Echoes from the Elfin Veil,Song,Avant-Garde Folk,2017,4557,Tears Left Unshed,Tears Left Unshed,Song,Avant-Garde Folk,2015
CoverOf,12389,Midnight Reindeer Dance: Nordic Folk Harmonies,Midnight Reindeer Dance: Nordic Folk Harmonies,Song,Space Rock,2017,16413,Shadows of Cassidy,Shadows of Cassidy,Song,Dream Pop,2015
DirectlySamples,272,Undying Affection,Undying Affection,Song,Desert Rock,2017,3252,Promised Land Calling,Promised Land Calling,Song,Psychedelic Rock,2015
DirectlySamples,9081,The Language of Silence,The Language of Silence,Song,Doom Metal,2017,15489,Lactose-Free Love Ballad,Lactose-Free Love Ballad,Song,Dream Pop,2015
InStyleOf,2461,Warmth Beyond Cobblestones,Warmth Beyond Cobblestones,Song,Doom Metal,2017,1611,Philosophical Brew,Philosophical Brew,Song,Indie Rock,2015
InStyleOf,4865,Marco's Heartbeat: A Local Hymn,Marco's Heartbeat: A Local Hymn,Song,Psychedelic Rock,2017,11522,Echoes from Archie's Valley,Echoes from Archie's Valley,Album,Psychedelic Rock,2015
InterpolatesFrom,917,Shifting Horizons,Shifting Horizons,Album,Psychedelic Rock,2017,3252,Promised Land Calling,Promised Land Calling,Song,Psychedelic Rock,2015
InterpolatesFrom,9122,Radiant Descent,Radiant Descent,Album,Lo-Fi Electronica,2017,1466,Waterlogged Memories,Waterlogged Memories,Song,Lo-Fi Electronica,2015
InterpolatesFrom,9855,Deadlock,Deadlock,Song,Indie Folk,2017,1611,Philosophical Brew,Philosophical Brew,Song,Indie Rock,2015
LyricalReferenceTo,14143,The Crusader's Lament,The Crusader's Lament,Song,Darkwave,2017,1611,Philosophical Brew,Philosophical Brew,Song,Indie Rock,2015
CoverOf,10657,Antlers of Moonlight,Antlers of Moonlight,Song,Dream Pop,2017,12971,Midnight's Empty Telephone,Midnight's Empty Telephone,Song,Dream Pop,2016
InStyleOf,1859,Shadows of the Minor Scale,Shadows of the Minor Scale,Album,Oceanus Folk,2017,3730,First Breath of Desire,First Breath of Desire,Song,Oceanus Folk,2016
InStyleOf,4167,The Interest Rises,The Interest Rises,Album,Southern Gothic Rock,2017,15643,Steppe of My Soul,Steppe of My Soul,Song,Southern Gothic Rock,2016
InStyleOf,9479,The March of a Thousand Boots,The March of a Thousand Boots,Song,Dream Pop,2017,12971,Midnight's Empty Telephone,Midnight's Empty Telephone,Song,Dream Pop,2016
InterpolatesFrom,3080,Rescind the Instigator,Rescind the Instigator,Song,Avant-Garde Folk,2017,11365,Swallow Your Pride,Swallow Your Pride,Song,Southern Gothic Rock,2016
InterpolatesFrom,3080,Rescind the Instigator,Rescind the Instigator,Song,Avant-Garde Folk,2017,13680,Homefront Harmony,Homefront Harmony,Song,Indie Pop,2016
InterpolatesFrom,10812,Silent Protocol,Silent Protocol,Song,Emo/Pop Punk,2017,15643,Steppe of My Soul,Steppe of My Soul,Song,Southern Gothic Rock,2016
InterpolatesFrom,14834,Honestly Honestly,Honestly Honestly,Song,Indie Pop,2017,15104,Silent Grace,Silent Grace,Song,Southern Gothic Rock,2016
LyricalReferenceTo,10342,Carols of the Silent Night,Carols of the Silent Night,Song,Dream Pop,2017,10281,Timelines Converge,Timelines Converge,Song,Synthwave,2016
LyricalReferenceTo,11001,Whispers of Melodic Mentors,Whispers of Melodic Mentors,Album,Dream Pop,2017,16635,Cascade of Devotion,Cascade of Devotion,Album,Dream Pop,2016
LyricalReferenceTo,15478,The Unspoken Truth,The Unspoken Truth,Song,Jazz Surf Rock,2017,5238,Shadows of Forgotten Myths,Shadows of Forgotten Myths,Song,Jazz Surf Rock,2016
CoverOf,4430,Whispers of the Orange Grove,Whispers of the Orange Grove,Album,Jazz Surf Rock,2017,4430,Whispers of the Orange Grove,Whispers of the Orange Grove,Album,Jazz Surf Rock,2017
CoverOf,9341,Dancing Silhouette,Dancing Silhouette,Song,Indie Folk,2017,9630,Whispers of Annabel,Whispers of Annabel,Song,Synthwave,2017
CoverOf,16396,Saltwater Metamorphosis,Saltwater Metamorphosis,Album,Doom Metal,2017,13640,Petals of Promise,Petals of Promise,Song,Dream Pop,2017
DirectlySamples,16437,Regiments and Rainbows,Regiments and Rainbows,Song,Indie Rock,2017,6617,Graceful Reflections of Maturity,Graceful Reflections of Maturity,Song,Dream Pop,2017
