Direction,Influence_Type,OF_Song,OF_Song_Year,OF_Artist,Other_Song,Other_Genre,Other_Year,Other_Artist
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Clocktower Cadence,Oceanus Folk,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Clocktower Cadence,Oceanus Folk,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma"
OF Influenced Others,CoverOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Spring's Rhythmic Parade,Americana,2017,"Gang Tan, Jun Peng"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Counterpoint's Silent Serenade,Oceanus Folk,2023,"Melissa Wheeler, Ming Yao, Na Cai, Xia Kang, Xia Xia"
OF Influenced Others,DirectlySamples,Wings of the Southern Cross,2024,"Chao Xiao, Fang Duan, Qiang Xie, Wei Lai, Yong Dai",Reflected Strangers,Synthwave,2024,"Fang Gu, Min Fu, Min Xie, Tracy Warren, Yang Lu"
OF Influenced Others,InStyleOf,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Distant Horizons,Oceanus Folk,2029,"Gang Xiong, Li Huang, Qiang Luo, Yong Ye"
OF Influenced Others,InStyleOf,Rings and Revelations,2024,"Paulo Oestrovsky, Qiang Zhu, Rüdiger Graf",Distant Horizons,Oceanus Folk,2029,"Gang Xiong, Li Huang, Qiang Luo, Yong Ye"
OF Influenced Others,InStyleOf,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Distant Horizons,Oceanus Folk,2029,"Gang Xiong, Li Huang, Qiang Luo, Yong Ye"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Aviator's First Dance,Oceanus Folk,2023,Min Song
OF Influenced Others,InterpolatesFrom,Brake Lights and Broken Hearts,2026,"Lisa Martin, Monica Nelson, Richard Frazier, Sonia Weeks",Ephemeral Beauty's Embrace,Indie Folk,2029,"Fang Cui, Hannah Richards, Jing Mao, Lei Qiu, Li Song, Li Sun, Lunar Drift, Min Kong"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Postcards from Julianne's Heart,Oceanus Folk,2022,"Ming Chen, Xia Cui, Xiuying Li"
OF Influenced Others,InterpolatesFrom,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",The Last Letter to Julianne,Oceanus Folk,2023,"Jun Yuan, Li Ding, Qiang Du, Tao Long, Yan Zhou"
OF Influenced Others,CoverOf,Exile's Whisper,2004,Ann Holland,Requiem for a Fading Self,Synthwave,2022,Keith Larsen
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,When Shadows Consume Me,Doom Metal,2017,"Daniel Harrington, Ela Dara, Manikya Badal, Zeeshan Kuruvilla"
OF Influenced Others,InterpolatesFrom,Roots and Winds of Departure,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc",Twisted Strands,Dream Pop,2017,"Guiying Qiao, Jing Liao"
OF Influenced Others,LyricalReferenceTo,Manifest Destiny Blues,2010,"Min Zheng, Walter White, Xiulan Wang",Whispers Behind Walls,Alternative Rock,2017,"Danielle Gray, Diya Goyal, Madhup Ganesh"
OF Influenced Others,LyricalReferenceTo,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Silent Frequencies,Desert Rock,2027,Juan Ye
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Conduct Code,Dream Pop,2027,Wei Yao
OF Influenced Others,InterpolatesFrom,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Nothing Left Untried,Desert Rock,2030,"Fang Xiong, Jing Guo, Lei Shi, Qiang Fang, Wei Gu, Xiuying Guo, Yan Liu"
OF Influenced Others,InStyleOf,Echoes of Devotion,2023,"Eric Bartlett, Min Yan, Xia Zeng",Nothing Left Untried,Desert Rock,2030,"Fang Xiong, Jing Guo, Lei Shi, Qiang Fang, Wei Gu, Xiuying Guo, Yan Liu"
OF Influenced Others,LyricalReferenceTo,Twelve Months of You,2024,"Jing Long, Tao Qin, Xiuying Xiang",Nothing Left Untried,Desert Rock,2030,"Fang Xiong, Jing Guo, Lei Shi, Qiang Fang, Wei Gu, Xiuying Guo, Yan Liu"
OF Influenced Others,LyricalReferenceTo,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",Hang Up (On You),Desert Rock,2027,"Blazing Collective, Gang Xie, Jonathan Diaz, Ming Zhao"
OF Influenced Others,InterpolatesFrom,Exile's Whisper,2004,Ann Holland,Nishadpati's Lament,Oceanus Folk,2021,"Christine Jones, Deborah Norton"
OF Influenced Others,InterpolatesFrom,Echoes of Departure,2004,"Fenna Zwart, Kimberly Stanton, Michael Anderson",Winds of Jaguaribe's Promise,Dream Pop,2020,"Brian Vincent, Kathleen Valentine, Lisa Baker"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Eternal Praise Resounding,Desert Rock,2020,"Chao Ding, Fang Wei, Jie Jiang"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Falling Without a Parachute,Oceanus Folk,2027,"Ming Du, Morgan Hernandez, Patricia Pope, Ping Shao"
OF Influenced Others,InStyleOf,Harmonic Latitude 458,2017,"Guiying Qin, Na Jin, Theresa Rivera",Falling Without a Parachute,Oceanus Folk,2027,"Ming Du, Morgan Hernandez, Patricia Pope, Ping Shao"
OF Influenced Others,CoverOf,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Falling Without a Parachute,Oceanus Folk,2027,"Ming Du, Morgan Hernandez, Patricia Pope, Ping Shao"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Twelve Months of You,Oceanus Folk,2024,"Jing Long, Tao Qin, Xiuying Xiang"
OF Influenced Others,DirectlySamples,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Twelve Months of You,Oceanus Folk,2024,"Jing Long, Tao Qin, Xiuying Xiang"
OF Influenced Others,CoverOf,Roots and Winds of Departure,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc",Scream Between Whispers,Americana,2018,Shlok Desai
OF Influenced Others,InStyleOf,Whispers in Maria's Slumber,2010,"Aneta Pruschke-Sölzer, Cesare Cicilia, Coriolano Luria-Scialpi, Filippo Pelli, Isabella Farinelli",Glance My Way,Oceanus Folk,2013,"Aneta Pruschke-Sölzer, Cesare Cicilia, Filippo Pelli, Isabella Farinelli"
OF Influenced Others,LyricalReferenceTo,Whispers of a Forgotten Melody,2013,"Lei Tao, Na Peng, Nadia van Dooren-de Jode Vastraedsd",Cordless Connections,Dream Pop,2029,"Chao Yi, Guiying Dong, Juan Fu, Li Huang, Li Yang, Los Leones del Valle, Mike Rose, Ming Hu, Ming Jiang, Ming Yin, Qiang Xie, Robert Rollins, Samuel Gutierrez, Wulf Lübs, Yang Li, Yong Jia"
OF Influenced Others,InStyleOf,Mythical Mane,1992,"Juan Pan, Juan Zeng",Shadows in Sleep,Oceanus Folk,2009,"Jennifer Alexander, Lori Young, Sean Riggs"
OF Influenced Others,DirectlySamples,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Restless Phantoms,Oceanus Folk,2020,"Evelyn Gordon, Gang Wang, Jie Yan, Min Gao, Wei Cheng, Yan Hou, Yang Yao"
OF Influenced Others,InStyleOf,Mercy's Infinite Echo,2007,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Thibault Hardy",Roots and Winds of Departure,Oceanus Folk,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc"
OF Influenced Others,InterpolatesFrom,Whispers in the Unknown,2026,"Jie Wang, Tao Su, Xia Du, Yang Wan, Yong Tang",Blue and Orange Blood,Desert Rock,2029,"Miki Hayashi, Qiang Han, Xiuying Yi"
OF Influenced Others,InStyleOf,Loud and Clear,2023,"Gang Shao, Jie Fan, Tao Dai, Wei Liao, Xiulan Lin",Hail of Mercy,Alternative Rock,2029,"Juan Xiong, Qiang Fang, Yan Qiu"
OF Influenced Others,InStyleOf,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Hail of Mercy,Alternative Rock,2029,"Juan Xiong, Qiang Fang, Yan Qiu"
OF Influenced Others,LyricalReferenceTo,Winds of the Basque Shore,2017,"Chao Wu, Donna Caldwell, Xiulan Ye",Bullets and Badges,Oceanus Folk,2026,"Carly Luna, Charles Vazquez, Gang Tian, Victoria Vazquez"
OF Influenced Others,DirectlySamples,Aerial Conquistadors,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou",Bullets and Badges,Oceanus Folk,2026,"Carly Luna, Charles Vazquez, Gang Tian, Victoria Vazquez"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Arachnid Aria,Space Rock,2028,"Brian Olsen, Xiuying Han"
OF Influenced Others,InStyleOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Arachnid Aria,Space Rock,2028,"Brian Olsen, Xiuying Han"
OF Influenced Others,InStyleOf,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Blank Slate Boulevard,Oceanus Folk,2023,Jessica Carney
OF Influenced Others,InterpolatesFrom,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Luminous Silence,Oceanus Folk,2025,"Ann Anderson, Xiuying Mo"
OF Influenced Others,LyricalReferenceTo,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Luminous Silence,Oceanus Folk,2025,"Ann Anderson, Xiuying Mo"
OF Influenced Others,InStyleOf,Hysterical Revenge,2004,"Alfred Thibault, Synaptic Stream, Thibault Hardy, Zoé-Agnès Delaunay",The Unfolding: Thirty Breaths,Darkwave,2028,Lori Schmidt
OF Influenced Others,InStyleOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Chromatic Reflections on a Theme,Oceanus Folk,2026,Stephen Allen
OF Influenced Others,CoverOf,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Shylock's Shadows,Oceanus Folk,2020,"Chao Qiao, Jun Xu, Karen Robinson, Xiuying Kang"
OF Influenced Others,LyricalReferenceTo,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Parisian Rainfall at Twilight,Jazz Surf Rock,2029,"Celestial Ink, Charles Marshall, Lei Fu, Ming Ding, Wei Peng, Yan Lin"
OF Influenced Others,InterpolatesFrom,Echoes of Devotion,2023,"Eric Bartlett, Min Yan, Xia Zeng",Palms of Passage,Oceanus Folk,2028,"Chao Fang, Xiulan Zhou, Yang Zhang"
OF Influenced Others,InStyleOf,Dust and Spurs,2024,"Ping Peng, Xia Jia, Xiulan Gu, Xiulan Xu",Palms of Passage,Oceanus Folk,2028,"Chao Fang, Xiulan Zhou, Yang Zhang"
OF Influenced Others,InStyleOf,Loud and Clear,2023,"Gang Shao, Jie Fan, Tao Dai, Wei Liao, Xiulan Lin",Palms of Passage,Oceanus Folk,2028,"Chao Fang, Xiulan Zhou, Yang Zhang"
OF Influenced Others,CoverOf,Soft Collisions,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini",The Timing is Now,Oceanus Folk,2013,"Constance Guibert, Daria Ceravolo, Ignazio Pastine, Lauretta Tresoldi, Zacharie Martins"
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",The Timing is Now,Oceanus Folk,2013,"Constance Guibert, Daria Ceravolo, Ignazio Pastine, Lauretta Tresoldi, Zacharie Martins"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Unsere gemeinsame Stimme,Desert Rock,2028,"Fang Zheng, Guiying Liao, Jun Yang, Yan Zou"
OF Influenced Others,InterpolatesFrom,Aerial Conquistadors,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou",Unsere gemeinsame Stimme,Desert Rock,2028,"Fang Zheng, Guiying Liao, Jun Yang, Yan Zou"
OF Influenced Others,InStyleOf,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Ancestral Melodies of the Plains,Dream Pop,2022,"Fang Qiao, Gang Cui, Gang Gao, Guiying Hao, Jie Ma, Jie Xu, Jun Song, Kelly Johnson, Na Gu, Ping Hou, Qiang Chang, Xia Guo, Yong Meng"
OF Influenced Others,DirectlySamples,Rings and Revelations,2024,"Paulo Oestrovsky, Qiang Zhu, Rüdiger Graf",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,InterpolatesFrom,Luminous Silence,2025,"Ann Anderson, Xiuying Mo",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,CoverOf,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,InterpolatesFrom,Geologic Pulse,2026,"Gang Fu, Li Long, Ping Zeng, Xiulan Xu",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,CoverOf,Sparks Unbound,2023,"Jose Garrett, Min Jin, Tao Lei",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,LyricalReferenceTo,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Classical Fragments,Desert Rock,2027,"Jie Fang, Yan Qin"
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Echoes of the Grande Armée,Indie Folk,2029,"Chao Wu, Guiying Zhang, Jeremy Hahn, Lei Hu"
OF Influenced Others,LyricalReferenceTo,Palms of Passage,2028,"Chao Fang, Xiulan Zhou, Yang Zhang",Heroes of Honor,Oceanus Folk,2029,"Chao Kang, Jie Bai, Joseph Cole, Rachel Ford, Yan Huang"
OF Influenced Others,CoverOf,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Heroes of Honor,Oceanus Folk,2029,"Chao Kang, Jie Bai, Joseph Cole, Rachel Ford, Yan Huang"
OF Influenced Others,CoverOf,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Heroes of Honor,Oceanus Folk,2029,"Chao Kang, Jie Bai, Joseph Cole, Rachel Ford, Yan Huang"
OF Influenced Others,InStyleOf,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Echoes of the Sámi Horizon,Oceanus Folk,2023,"Juan Deng, Jun Ye, Yang Qian"
OF Influenced Others,LyricalReferenceTo,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Needle's Nostalgic Dance,Desert Rock,2029,Min Meng
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Fading Echoes of Annabel,Desert Rock,2029,"Allison Curtis, Bryan Smith, Electric Twist, Ronald Kennedy"
OF Influenced Others,InterpolatesFrom,Mirage of Memories,2023,"Brandy Reyes, Laura Gibbs, Mary Medina, Raymond Mccoy, Rhonda Brown",Fading Echoes of Annabel,Desert Rock,2029,"Allison Curtis, Bryan Smith, Electric Twist, Ronald Kennedy"
OF Influenced Others,LyricalReferenceTo,Timón de Esperanza,2022,"Guiying Ma, Jie Wu, Jing Li, Juan Dong",Fading Echoes of Annabel,Desert Rock,2029,"Allison Curtis, Bryan Smith, Electric Twist, Ronald Kennedy"
OF Influenced Others,CoverOf,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Echoes Within,Oceanus Folk,2029,"Chao Sun, Jennifer Harris, Ping Xu"
OF Influenced Others,CoverOf,Eternal Light Descends,2023,"Juan Qiao, Jun Jin, Na Ma, Qiang Song, Xiulan Ren",Echoes Within,Oceanus Folk,2029,"Chao Sun, Jennifer Harris, Ping Xu"
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Earthsong Eternal,Oceanus Folk,2013,"Adrien Weiss, Charles du Perez, Pauline Guyot de la Maillet, Zacharie Martins"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,The Plaintive Pipe's Journey,Dream Pop,2029,"Guiying Wu, Jun Dai, Karen Munoz, Min Fu, Ping Cai, Ping Ma, Qiang Pan, Ryan Rodriguez"
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Stalemate,Desert Rock,2026,"Ping Guo, Ping Qian, Ping Wan, Qiang Gao"
OF Influenced Others,DirectlySamples,Resonant Tongue,2020,"Jing Wei, Tao Yao, Yan Zhou",Stalemate,Desert Rock,2026,"Ping Guo, Ping Qian, Ping Wan, Qiang Gao"
OF Influenced Others,CoverOf,Timón de Esperanza,2022,"Guiying Ma, Jie Wu, Jing Li, Juan Dong",Stalemate,Desert Rock,2026,"Ping Guo, Ping Qian, Ping Wan, Qiang Gao"
OF Influenced Others,LyricalReferenceTo,Landscape Echoes,2011,"Luciano Chindamo, Nicola Bernetti, Serena Lettiere, Vincentio Gentili","Lights, Camera, Heartbreak",Dream Pop,2023,"Luigina Lattuada-Carfagna, Marina Giradello-Pellegrini, Matilda Gottardi, Tiziano Bianchi"
OF Influenced Others,CoverOf,Midnight's Restless Echo,2013,Justin Morse,Passages of Light,Darkwave,2019,"Jing Lai, Jun Lin, Lei Cheng, Li Lei, Xiuying Xie, Xiuying Yao"
OF Influenced Others,InStyleOf,Twelve Months of You,2024,"Jing Long, Tao Qin, Xiuying Xiang",Morning's Hallucinogenic Feast,Indie Folk,2028,"Guiying Dai, Jing Gong, Lei Jia, Qiang Gong, Tao Xu"
OF Influenced Others,LyricalReferenceTo,Whispers of Deceit,2023,"Jie Chang, Jie Cui, Li Gu",Morning's Hallucinogenic Feast,Indie Folk,2028,"Guiying Dai, Jing Gong, Lei Jia, Qiang Gong, Tao Xu"
OF Influenced Others,InterpolatesFrom,Synaptic Cereal Spoon,2026,"Guiying Cao, Jing Kang, Silver Seraph, Xia Xia, Xiuying Huang",Echoes of Yesterday,Desert Rock,2026,"Juan Liu, Scott Sanders, Yan Shi"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Echoes of Yesterday,Desert Rock,2026,"Juan Liu, Scott Sanders, Yan Shi"
OF Influenced Others,CoverOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Echoes of Yesterday,Desert Rock,2026,"Juan Liu, Scott Sanders, Yan Shi"
OF Influenced Others,InStyleOf,Mirage of Memories,2023,"Brandy Reyes, Laura Gibbs, Mary Medina, Raymond Mccoy, Rhonda Brown",Echoes of Yesterday,Desert Rock,2026,"Juan Liu, Scott Sanders, Yan Shi"
OF Influenced Others,LyricalReferenceTo,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Echoes of Gilead,Indie Folk,2023,"Cardboard Twenty-Five, Fang Jiang, Jie Su, Qiang Tang, Tao Dai"
OF Influenced Others,LyricalReferenceTo,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Crossing the Promised Boundary,Post-Apocalyptic Folk,2026,"Qiang Gu, Tao Xu, Xiulan Duan, Xiuying Xie, Xiuying Yao"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Whispers of a Wandering Soul,Dream Pop,2022,"Theres Roht, Tülay Tlustek"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Whispers of a Wandering Soul,Dream Pop,2022,"Theres Roht, Tülay Tlustek"
OF Influenced Others,CoverOf,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Roadside Memories,Oceanus Folk,2010,"Augusto Villaverde Armengol, Filippo Pelli"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Somewhere Between Somewhere,Oceanus Folk,2026,"Jörg Niemeier, Lei Xue, Min Xia, Tao Cui"
OF Influenced Others,LyricalReferenceTo,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Somewhere Between Somewhere,Oceanus Folk,2026,"Jörg Niemeier, Lei Xue, Min Xia, Tao Cui"
OF Influenced Others,InStyleOf,Summer of '76,2024,"Min Mo, Ming Zhong, Ping Liao",Prophetic Shadows,Jazz Surf Rock,2027,"Min Mo, Ming Zhong, Ping Liao"
OF Influenced Others,CoverOf,Ceremonial Footsteps,2026,"Ming Wang, Ming Xiang, Wei Chen, Yan Luo",Prophetic Shadows,Jazz Surf Rock,2027,"Min Mo, Ming Zhong, Ping Liao"
OF Influenced Others,CoverOf,Gravity's Anchor,2004,Lagan Bhalla,Guardians of Honor,Americana,2027,"Brian Hall, Chao Bai, Tao Gao, Xiulan Shao"
OF Influenced Others,InStyleOf,Fragments of a Forgotten Continent,2017,Jing Zhang,Unified Steps of Joy,Dream Pop,2023,"Jing Tian, Ming Hao, Nanami Yoshida, Qiang Sun, Xia Kang, Yong Yao"
OF Influenced Others,CoverOf,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Parallel Memories,Dream Pop,2028,"Guiying Ren, Lei Shi, Tao Wen, Wei Liang"
OF Influenced Others,InStyleOf,Aquatic Rebirth (1983),2023,"Christine Ward, Donald Medina, Joshua Orozco, Lisa Hofmann, Sonora Flux, Steven Goodman",Parallel Memories,Dream Pop,2028,"Guiying Ren, Lei Shi, Tao Wen, Wei Liang"
OF Influenced Others,LyricalReferenceTo,Perimeter,2020,Chao Zhou,Denali's Whisper,Space Rock,2027,"Fang Tang, Li Yang, Tao Sun, Xia Shao, Xiulan Yi"
OF Influenced Others,InterpolatesFrom,Wheels in Motion,2017,"Chao Wu, Jing Xu, Juan Wen, Min Xue, Min Yu, Wei Guo",Denali's Whisper,Space Rock,2027,"Fang Tang, Li Yang, Tao Sun, Xia Shao, Xiulan Yi"
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Denali's Whisper,Space Rock,2027,"Fang Tang, Li Yang, Tao Sun, Xia Shao, Xiulan Yi"
OF Influenced Others,DirectlySamples,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Dust and Determination,Indie Folk,2016,"Antonia Farinelli, Elena Germano, Sole Gagliano-Conte"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Crown and Conscience,Space Rock,2025,"Na Ren, Ping Li, Ping Wan, Qiang Gao"
OF Influenced Others,CoverOf,Shadows of a Forgotten Name,2013,"Jun Yi, Xia Yu",Perfectly Plastic,Oceanus Folk,2025,Isaiah Morales
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Wild Tonight,Oceanus Folk,2023,"Tao Du, The Nulls, Yan Yan"
OF Influenced Others,InStyleOf,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",Whispers Between Lovers,Oceanus Folk,2026,Jun Yuan
OF Influenced Others,CoverOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Snapshot of Forever,Oceanus Folk,2026,"Juan Yu, Lei Jin, Loro, Qiang Song, Yong Lai"
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",The Memory of Xiao,Space Rock,2024,"Guiying Gao, Hex Collective, Min Li, Ming Chang, Ming Ding, Wei Cui"
OF Influenced Others,CoverOf,Exile's Whisper,2004,Ann Holland,Broker's Burden,Oceanus Folk,2020,"Gang Shen, Jun Hao, Lei Su, Xiulan Lai"
OF Influenced Others,DirectlySamples,Echoes of Joy,2023,"Guiying Tao, Ming Qiao",Negotiator's Lament,Indie Folk,2029,"April Mills, David Maddox, Stephanie Fowler"
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Radiant Hearts,Indie Folk,2028,"Chao Yuan, Jie Hu, Mariola Heser, Xiulan Dong"
OF Influenced Others,InterpolatesFrom,Eternal Light Descends,2023,"Juan Qiao, Jun Jin, Na Ma, Qiang Song, Xiulan Ren",Patience Worn Thin,Indie Folk,2027,"Calvin Cooper, Guiying Gong, Jun Qiu, Lei Jin, Thomas Le, Wei Liang, Xiuying Xu"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Sparks Unbound,Oceanus Folk,2023,"Jose Garrett, Min Jin, Tao Lei"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Fragments of Friendship,Oceanus Folk,2024,"David Nash, Gang Yang"
OF Influenced Others,InterpolatesFrom,Exile's Whisper,2004,Ann Holland,Fragments of Friendship,Oceanus Folk,2024,"David Nash, Gang Yang"
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Unbreakable Divine Shelter,Oceanus Folk,2030,"Amber Smith, Cardboard Twenty-Five, Chao Zheng, Gang Zhu, Jie Su, Min Tian"
OF Influenced Others,InStyleOf,Chromatic Reflections on a Theme,2026,Stephen Allen,Unbreakable Divine Shelter,Oceanus Folk,2030,"Amber Smith, Cardboard Twenty-Five, Chao Zheng, Gang Zhu, Jie Su, Min Tian"
OF Influenced Others,InterpolatesFrom,Eternal Light Descends,2023,"Juan Qiao, Jun Jin, Na Ma, Qiang Song, Xiulan Ren",Unbound Waters,Synthwave,2023,"Eric Armstrong, Heather Kennedy, Tina Spencer"
OF Influenced Others,InStyleOf,Whispers in Maria's Slumber,2010,"Aneta Pruschke-Sölzer, Cesare Cicilia, Coriolano Luria-Scialpi, Filippo Pelli, Isabella Farinelli",Dust and Spurs,Oceanus Folk,2024,"Ping Peng, Xia Jia, Xiulan Gu, Xiulan Xu"
